STCODE,FORMAT,REPBLK,SUBPLOT,YEAR,MONTH,DAY,TRANSECT,STATION,TRAPTYPE,SPECIES,CAPSTATUS,LIVEDEAD,TAGLEFT,TAGRIGHT,TOENUMBER,BODYLENGTH,TAILLENGTH,WEIGHT,SEX,REPSTATUS,DEADNUMBER,NOTENUMBER1,PROCESSED,PUBIC,PREG
WE026,1,3,15,1995,1,2,1,10,S,TATO,R,L,261,262,,,,81.0,F,P,,,,,
WE026,1,3,15,1995,1,2,2,4,S,TATO,R,L,263,264,,,,82.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,2,3,S,PEMA,R,L,,4761,,,,12.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,2,2,S,TATO,R,L,265,266,,,,98.0,F,NL,,,,,
WE026,1,3,15,1995,1,2,2,6,S,PEMA,R,L,,4762,,,,12.0,F,NL,,,,,
WE026,1,3,15,1995,1,2,1,2,S,TATO,R,L,267,268,,,,74.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,2,7,S,CLCA,R,L,,4763,,,,15.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,2,9,S,CLCA,R,L,,4764,,,,19.0,F,P,,,,,
WE026,1,3,15,1995,1,2,3,1,S,TATO,R,L,269,270,,,,87.0,M,TR,,,,,
WE026,1,3,15,1995,1,3,3,2,S,TATO,R,L,271,272,,,,81.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,3,3,S,TATO,R,L,273,274,,,,79.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,3,1,S,PEMA,R,L,,4766,,,,13.0,F,NL,,,,,
WE026,1,3,15,1995,1,3,3,3,S,PEMA,R,L,,4767,,,,15.0,F,NL,,,,,
WE026,1,3,15,1995,1,2,4,1,S,TATO,R,L,501,502,,,,70.0,M,TR,,,,,
WE026,1,3,15,1995,1,3,4,1,S,PEMA,R,L,,4768,,,,15.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,4,2,S,TATO,R,L,366,367,,,,78.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,4,4,S,PEMA,R,L,,4769,,,,15.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,4,9,S,TATO,R,L,58,59,,,,75.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,4,10,S,PEMA,R,L,,4770,,,,13.0,M,TR,,,,,
WE026,1,3,15,1995,1,3,1,2,S,CLCA,R,L,,3827,,,,17.0,F,NL,,,,,
WE026,1,3,15,1995,1,3,2,1,S,TATO,R,L,369,376,,,,79.0,M,TR,,,,,
WE026,1,3,15,1995,1,3,2,10,S,TATO,R,L,368,370,,,,83.0,F,NL,,,,,
WE026,1,3,15,1995,1,3,2,7,S,PEMA,R,L,,3829,,,,14.0,F,NL,,,,,
WE026,1,3,15,1995,1,3,3,1,S,PEMA,R,L,,3830,,,,14.0,M,TR,,,,,
WE026,1,3,15,1995,1,4,3,10,S,PEMA,R,L,,3831,,,,15.0,F,NL,,,,,
WE026,1,3,15,1995,1,4,1,3,S,PEMA,R,L,,4412,,,,13.0,M,TR,,,,,
WE026,1,3,15,1995,1,4,1,9,S,CLCA,R,L,,4413,,,,21.0,F,P,,,,,
WE026,1,3,15,1995,1,4,1,10,S,TATO,R,L,695,696,,,,89.0,M,TR,,,,,
WE026,1,3,15,1995,1,4,2,10,S,PEMA,R,L,,4415,,,,13.0,M,TR,,,,,
WE026,1,3,16,1995,1,2,1,7,S,MIOR,R,L,,3821,,,,14.0,F,NL,,,,,
WE026,1,3,16,1995,1,2,3,7,S,CLCA,R,L,,3822,,,,15.0,F,NL,,,,,
WE026,1,3,15,1995,1,2,4,2,S,TATO,N,L,693,694,,,,77.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,4,5,S,SOSP,N,D,,,,,,7.0,U,U,,,,,
WE026,1,3,15,1995,1,2,4,9,S,CLCA,N,L,,4774,,,,16.0,M,TR,,,,,
WE026,1,3,15,1995,1,3,1,3,S,PEMA,N,L,,4412,,,,13.0,M,TR,,,,,
WE026,1,3,15,1995,1,3,1,8,S,CLCA,N,L,,4413,,,,21.0,F,P,,,,,
WE026,1,3,15,1995,1,3,1,10,S,TATO,N,L,695,696,,,,89.0,M,TR,,,,,
WE026,1,3,15,1995,1,3,1,10,S,CLCA,N,L,,4414,,,,22.0,F,P,,,,,
WE026,1,3,15,1995,1,3,2,10,S,PEMA,N,L,,4415,,,,13.0,M,TR,,,,,
WE026,1,3,15,1995,1,3,3,10,S,SOSP,N,D,,,,,,5.0,U,U,,,,,
WE026,1,3,15,1995,1,3,4,3,S,CLCA,N,L,,4416,,,,15.0,F,NL,,,,,
WE026,1,3,15,1995,1,3,4,5,S,CLCA,N,L,,3833,,,,17.0,F,P,,,,,
WE026,1,3,15,1995,1,4,1,6,S,SOSP,N,D,,,,,,5.0,U,U,,,,,
WE026,1,3,15,1995,1,4,1,8,S,CLCA,N,L,,4777,,,,16.0,F,NL,,,,,
WE026,1,3,15,1995,1,4,2,1,S,TATO,N,L,507,508,,,,80.0,M,TR,,,,,
WE026,1,3,15,1995,1,4,2,8,S,PEMA,N,L,,4778,,,,19.0,F,P,,,,,
WE026,1,3,15,1995,1,4,2,10,S,CLCA,N,L,,4779,,,,23.0,M,TR,,,,,
WE026,1,3,15,1995,1,4,3,2,S,PEMA,N,L,,4781,,,,16.0,F,P,,,,,
WE026,1,3,15,1995,1,4,3,2,P,SOTR,N,D,,,,,,4.0,U,U,,,,,
WE026,1,3,15,1995,1,4,4,3,S,TATO,N,L,509,510,,,,72.0,M,TR,,,,,
WE026,1,3,16,1995,1,1,2,2,S,MIOR,N,L,,3821,,,,14.0,F,NL,,,,,
WE026,1,3,16,1995,1,1,3,7,S,CLCA,N,L,,3822,,,,15.0,F,NL,,,,,
WE026,1,3,16,1995,1,1,3,10,S,PEMA,N,L,,3823,,,,13.0,F,NL,,,,,
WE026,1,3,16,1995,1,1,4,7,S,MIOR,N,L,,3824,,,,14.0,M,TR,,,,,
WE026,1,3,16,1995,1,1,4,9,S,MIOR,N,L,,3825,,,,14.0,F,NL,,,,,
WE026,1,3,16,1995,1,2,1,4,S,MIOR,N,L,,4406,,,,15.0,M,TR,,,,,
WE026,1,3,16,1995,1,2,2,1,S,CLCA,N,L,,4407,,,,17.0,M,TR,,,,,
WE026,1,3,16,1995,1,2,2,2,S,CLCA,N,L,,4408,,,,14.0,F,NL,,,,,
WE026,1,3,16,1995,1,2,2,5,S,MIOR,N,L,,4409,,,,14.0,F,NL,,,,,
WE026,1,3,16,1995,1,2,2,7,S,TATO,N,L,687,688,,,,83.0,F,NL,,,,,
WE026,1,3,16,1995,1,2,2,8,S,CLCA,N,L,,4410,,,,12.0,F,NL,,,,,
WE026,1,3,16,1995,1,2,2,9,S,TATO,N,L,689,690,,,,83.0,F,NL,,,,,
WE026,1,3,16,1995,1,2,3,6,S,TATO,N,L,691,692,,,,97.0,M,TR,,,,,
WE026,1,3,16,1995,1,2,3,7,S,CLCA,N,L,,4411,,,,15.0,F,NL,,,,,
WE026,1,3,16,1995,1,3,1,10,S,CLCA,N,L,,4775,,,,19.0,F,P,,,,,
WE026,1,3,16,1995,1,3,1,6,S,CLCA,N,D,,,,,,11.0,M,TR,,,,,
WE026,1,3,16,1995,1,3,2,5,S,TATO,N,L,503,504,,,,71.0,M,TR,,,,,
WE026,1,3,16,1995,1,3,3,6,S,SOSP,N,D,,,,,,6.0,U,U,,,,,
WE026,1,3,16,1995,1,3,4,7,S,MIOR,N,L,,4776,,,,16.0,M,TR,,,,,
WE026,1,3,16,1995,1,4,1,8,S,CLCA,N,L,,3835,,,,12.0,M,TR,,,,,
WE026,1,3,16,1995,1,4,1,7,S,SOSP,N,D,,,,,,6.0,U,U,,,,,
WE026,1,3,16,1995,1,4,3,1,S,PEMA,N,L,,3837,,,,15.0,M,TR,,,,,
WE026,1,3,16,1995,1,4,3,4,S,DITE,N,L,,,,,,60.0,U,U,,,,,
WE026,1,3,16,1995,1,4,4,2,S,PEMA,N,L,,3836,,,,13.0,F,NL,,,,,
WE026,1,3,16,1995,1,4,4,4,S,MIOR,N,L,,3838,,,,15.0,M,TR,,,,,
WE026,1,3,16,1995,1,4,4,8,S,PEMA,N,L,,3839,,,,13.0,M,TR,,,,,
WE026,1,3,16,1995,1,4,4,9,S,SOSP,N,D,,,,,,4.0,U,U,,,,,
WE026,1,3,14,1995,2,1,1,10,S,PEMA,R,L,,4403,,,,15.0,M,TR,,,,,
WE026,1,3,14,1995,2,1,3,1,S,SOSP,N,L,,3841,,,,,U,U,,,,,
WE026,1,3,14,1995,2,1,3,4,S,CLCA,N,D,,,,,,17.0,M,TR,,,,,
WE026,1,3,14,1995,2,1,2,10,S,TATO,R,L,364,365,,,,74.0,M,TR,,,,,
WE026,1,3,14,1995,2,2,1,1,S,SOSP,N,D,,4426,,,,6.0,F,NL,,,,,
WE026,1,3,14,1995,2,2,3,3,S,MIOR,N,L,,4427,,,,14.0,M,TR,,,,,
WE026,1,3,14,1995,2,2,4,7,S,SOSP,R,L,,3832,,,,8.0,U,U,,,,,
WE026,1,3,14,1995,2,2,4,9,S,PEMA,N,L,,4429,,,,13.0,F,NL,,,,,
WE026,1,3,14,1995,2,2,2,10,S,TATO,R,L,506,505,,,,88.0,M,TR,,,,,
WE026,1,3,14,1995,2,3,1,7,S,TATO,R,L,,,,,,,U,U,,,,,
WE026,1,3,14,1995,2,3,1,8,S,MIOR,N,L,,3853,,,,13.0,F,NL,,,,,
WE026,1,3,14,1995,2,3,3,9,S,SOSP,N,D,,,,,,6.0,U,U,,,,,
WE026,1,3,14,1995,2,4,1,3,S,SOSP,N,D,,,,,,6.0,U,U,,,,,
WE026,1,3,14,1995,2,4,2,9,S,SOSP,N,D,,,,,,6.0,U,U,,,,,
WE026,1,3,15,1995,2,1,1,1,S,PEMA,R,L,,4412,,,,16.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,1,1,S,TATO,R,L,267,268,,,,75.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,1,5,S,PEMA,N,L,,4782,,,,17.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,1,6,S,CLCA,N,D,,,,,,16.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,1,6,S,CLCA,N,L,,4784,,,,19.0,F,NL,,,,,
WE026,1,3,14,1995,1,1,3,3,P,CLCA,N,L,,4404,,,,10.0,F,NL,,,,,
WE026,1,3,14,1995,1,1,3,5,S,MIOR,N,L,,4405,,,,17.0,F,NL,,,,,
WE026,1,3,14,1995,1,1,3,6,S,TATO,N,L,681,682,,,,96.0,F,P,,,,,
WE026,1,3,14,1995,1,1,3,10,S,TATO,N,L,683,684,,,,90.0,F,NL,,,,,
WE026,1,3,14,1995,1,1,3,10,S,TATO,N,L,685,686,,,,87.0,M,TR,,,,,
WE026,1,3,14,1995,1,1,2,10,S,TATO,N,L,364,365,,,,71.0,M,TR,,,,,
WE026,1,3,14,1995,1,2,1,9,S,MIOR,N,L,,4771,,,,14.0,M,TR,,,,,
WE026,1,3,14,1995,1,2,1,10,S,TATO,N,D,,,,,,87.0,F,NL,,,,,
WE026,1,3,14,1995,1,2,3,7,S,MIOR,N,L,,4772,,,,14.0,M,TR,,,,,
WE026,1,3,14,1995,1,2,4,5,S,MIOR,N,L,,4773,,,,18.0,F,P,,,,,
WE026,1,3,14,1995,1,2,4,6,P,SOTR,N,D,,,,,,4.0,U,U,,,,,
WE026,1,3,14,1995,1,3,3,2,S,SOSP,N,L,,3832,,,,7.0,U,U,,,,,
WE026,1,3,14,1995,1,3,3,5,P,SOSP,N,D,,,,,,4.0,U,U,,,,,
WE026,1,3,14,1995,1,3,2,4,S,TATO,N,L,377,378,,,,86.0,F,NL,,,,,
WE026,1,3,14,1995,1,3,2,1,S,TATO,N,L,506,505,,,,94.0,M,TR,,,,,
WE026,1,3,14,1995,1,4,1,7,U,ENES,N,L,,,,,,,U,U,,,,,
WE026,1,3,14,1995,1,4,3,5,P,SOTR,N,D,,,,,,3.0,U,U,,,,,
WE026,1,3,14,1995,1,4,4,2,P,SOTR,N,L,,,,,,,U,U,,,,,
WE026,1,3,14,1995,1,4,4,2,P,SOTR,N,L,,,,,,5.0,U,U,,,,,
WE026,1,3,14,1995,1,4,2,4,S,TATO,N,L,697,698,,,,71.0,U,U,,,,,
WE026,1,3,15,1995,1,1,1,1,S,TATO,R,L,56,57,,,,82.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,1,2,S,TATO,N,L,251,275,,,,77.0,F,NL,,,,,
WE026,1,3,15,1995,1,1,1,3,S,CLCA,N,L,,4759,,,,16.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,1,3,S,CLCA,N,D,,,,,,18.0,F,NL,,,,,
WE026,1,3,15,1995,1,1,1,4,S,TATO,N,L,253,254,,,,84.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,1,5,S,TATO,N,L,255,256,,,,71.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,1,6,S,CLCA,N,D,,,,,,13.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,1,7,S,TATO,N,L,257,258,,,,79.0,F,NL,,,,,
WE026,1,3,15,1995,1,1,1,7,S,CLCA,N,D,,,,,,15.0,F,NL,,,,,
WE026,1,3,15,1995,1,1,1,7,P,ENES,N,L,,4,,,,2.0,U,U,,,,,
WE026,1,3,15,1995,1,1,1,9,P,SOTR,N,D,,,,,,4.0,U,U,,,,,
WE026,1,3,15,1995,1,1,1,10,S,CLCA,N,L,,4760,,,,17.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,1,10,S,TATO,R,L,92,93,,,,87.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,2,1,S,TATO,N,L,261,262,,,,81.0,F,P,,,,,
WE026,1,3,15,1995,1,1,2,4,S,TATO,N,L,263,264,,,,82.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,2,5,S,PEMA,N,L,,4761,,,,12.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,2,5,S,TATO,N,L,265,266,,,,98.0,F,NL,,,,,
WE026,1,3,15,1995,1,1,2,7,S,PEMA,N,L,,4762,,,,12.0,F,NL,,,,,
WE026,1,3,15,1995,1,1,2,8,S,TATO,N,L,267,268,,,,74.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,2,8,S,CLCA,N,L,,4763,,,,15.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,2,9,S,MUER,N,D,,,,,,56.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,2,9,S,CLCA,N,L,,4764,,,,19.0,F,P,,,,,
WE026,1,3,15,1995,1,1,2,10,S,TATO,N,L,269,270,,,,87.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,3,1,S,TATO,N,L,271,272,,,,81.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,3,1,S,TATO,N,L,273,274,,,,79.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,3,2,S,PEMA,N,L,,4766,,,,13.0,F,NL,,,,,
WE026,1,3,15,1995,1,1,3,3,S,PEMA,N,L,,4767,,,,15.0,F,NL,,,,,
WE026,1,3,15,1995,1,1,3,9,S,SOSP,N,D,,,,,,6.0,U,U,,,,,
WE026,1,3,15,1995,1,1,3,9,S,TATO,N,L,501,502,,,,70.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,3,10,S,PEMA,N,L,,4768,,,,15.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,4,1,S,TATO,N,L,366,367,,,,78.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,4,4,S,SOSP,N,D,,,,,,8.0,U,U,,,,,
WE026,1,3,15,1995,1,1,4,5,S,PEMA,N,L,,4769,,,,15.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,4,8,S,TATO,R,L,58,59,,,,75.0,M,TR,,,,,
WE026,1,3,15,1995,1,1,4,9,S,CLCA,N,L,,3826,,,,13.0,F,NL,,,,,
WE026,1,3,15,1995,1,1,4,10,S,PEMA,N,L,,4770,,,,13.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,1,3,S,CLCA,N,L,,3827,,,,17.0,F,NL,,,,,
WE026,1,3,15,1995,1,2,1,5,S,CLCA,N,D,,,,,,16.0,F,NL,,,,,
WE026,1,3,15,1995,1,2,1,6,S,CLCA,N,D,,,,,,21.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,2,1,S,TATO,N,L,369,376,,,,79.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,2,6,S,TATO,N,L,368,370,,,,83.0,F,NL,,,,,
WE026,1,3,15,1995,1,2,2,8,S,MIOR,N,L,,3828,,,,15.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,2,10,S,PEMA,N,L,,3829,,,,14.0,F,NL,,,,,
WE026,1,3,15,1995,1,2,3,2,S,PEMA,N,L,,3830,,,,14.0,M,TR,,,,,
WE026,1,3,15,1995,1,2,4,1,S,PEMA,N,L,,3831,,,,15.0,F,NL,,,,,
WE026,1,3,14,1995,1,1,1,6,S,PEMA,N,L,,4403,,,,14.0,M,TD,,,,,
WE026,1,3,15,1995,2,1,1,7,S,GLSA,N,L,,527,,,,107.0,F,P,,,,,
WE026,1,3,15,1995,2,1,1,9,S,TATO,R,L,257,258,,,,76.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,1,9,S,CLCA,R,L,,4414,,,,22.0,F,P,,,,,
WE026,1,3,15,1995,2,1,1,10,S,CLCA,R,L,,4760,,,,17.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,2,1,S,PEMA,N,L,,4785,,,,13.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,2,1,S,TATO,R,L,261,262,,,,79.0,F,P,,,,,
WE026,1,3,15,1995,2,1,2,2,S,CLCA,R,L,,4413,,,,21.0,F,P,,,,,
WE026,1,3,15,1995,2,1,2,3,S,PEMA,R,L,,3829,,,,16.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,2,3,S,TATO,R,L,263,264,,,,84.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,2,4,S,CLCA,N,L,,4786,,,,18.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,2,5,S,CLCA,R,L,,4777,,,,17.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,2,5,S,PEMA,R,L,,4762,,,,13.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,2,7,S,CLCA,R,L,,4763,,,,16.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,2,7,S,PEMA,R,L,,4778,,,,22.0,F,P,,,,,
WE026,1,3,15,1995,2,1,2,9,S,CLCA,R,L,,3828,,,,15.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,3,1,S,PEMA,R,L,,3830,,,,16.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,3,2,S,PEMA,R,L,,4766,,,,16.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,3,3,S,PEMA,N,L,,4787,,,,14.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,3,5,S,PEMA,R,L,,4767,,,,15.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,3,8,S,TATO,R,L,271,272,,,,85.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,4,1,S,PEMA,R,L,,4781,,,,17.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,4,2,S,PEMA,R,L,,3831,,,,16.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,4,3,S,PEMA,R,L,,4768,,,,16.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,4,3,S,TATO,R,L,501,502,,,,84.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,4,6,S,PEMA,R,L,,4769,,,,19.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,4,4,S,CLCA,R,D,,4416,,,,14.0,F,NL,,,,,
WE026,1,3,15,1995,2,1,4,5,S,CLCA,N,L,,4424,,,,22.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,4,8,S,CLCA,R,L,,4774,,,,18.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,4,10,S,PEMA,R,L,,4770,,,,14.0,M,TR,,,,,
WE026,1,3,15,1995,2,1,4,5,S,TATO,R,L,366,367,,,,84.0,M,TR,,,,,
WE026,1,3,15,1995,2,2,4,10,S,PEMA,N,L,,4425,,,,13.0,F,NL,,,,,
WE026,1,3,15,1995,2,2,4,10,S,TATO,R,L,58,59,,,,73.0,M,TR,,,,,
WE026,1,3,15,1995,2,2,4,6,S,TATO,R,L,33,34,,,,89.0,F,NL,,,,,
WE026,1,3,15,1995,2,2,1,2,S,CLCA,N,D,,,,,,16.0,M,TR,,,,,
WE026,1,3,15,1995,2,2,2,1,S,TATO,R,L,74,75,,,,80.0,M,TR,,,,,
WE026,1,3,15,1995,2,2,2,9,S,PEMA,N,L,,3847,,,,15.0,M,TR,,,,,
WE026,1,3,15,1995,2,3,1,1,S,PEMA,R,L,,4766,,,,14.0,F,NL,,,,,
WE026,1,3,15,1995,2,3,1,2,S,PEMA,N,L,,4430,,,,17.0,M,TR,,,,,
WE026,1,3,15,1995,2,3,2,2,S,TATO,R,L,92,93,,,,78.0,M,TR,,,,,
WE026,1,3,15,1995,2,3,2,6,S,SOTR,N,D,,,,,,5.0,U,U,,,,,
WE026,1,3,15,1995,2,3,4,7,S,PEMA,N,L,,3852,,,,14.0,M,TR,,,,,
WE026,1,3,15,1995,2,3,4,10,S,PEMA,R,L,,4515,,,,21.0,F,P,,,,,
WE026,1,3,15,1995,2,3,2,10,S,PEMA,R,L,,3847,,,,16.0,M,TR,,,,,
WE026,1,3,15,1995,2,4,1,1,S,PEMA,R,L,,3830,,,,15.0,M,TR,,,,,
WE026,1,3,15,1995,2,4,1,8,S,PEMA,R,L,,4789,,,,,U,U,,,,,
WE026,1,3,15,1995,2,4,2,6,S,SOSP,N,D,,,,,,4.0,U,U,,,,,
WE026,1,3,15,1995,2,4,2,7,S,PEMA,N,L,,,,,,15.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,1,9,S,TATO,R,L,687,688,,,,89.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,1,6,S,SOSP,N,L,,4417,,,,6.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,1,4,S,MIOR,R,L,,3821,,,,15.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,1,3,S,MIOR,N,L,,4418,,,,15.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,1,3,S,SOSP,N,L,,4419,,,,6.0,U,U,,,,,
WE026,1,3,16,1995,2,1,1,2,S,TATO,N,L,699,700,,,,96.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,2,3,S,CLCA,R,D,,4408,,,,12.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,2,4,S,CLCA,R,L,,4407,,,,17.0,M,TR,,,,,
WE026,1,3,16,1995,2,1,3,2,S,CLCA,N,L,,4420,,,,19.0,M,TR,,,,,
WE026,1,3,16,1995,2,1,3,3,S,TATO,N,L,601,602,,,,96.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,3,4,S,PEMA,N,L,,4421,,,,13.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,3,5,S,TATO,R,L,503,504,,,,81.0,M,TR,,,,,
WE026,1,3,16,1995,2,1,3,6,S,PEMA,N,L,,4422,,,,19.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,3,10,S,SOSP,N,D,,,,,,7.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,4,1,S,PEMA,R,L,,3823,,,,14.0,F,NL,,,,,
WE026,1,3,16,1995,2,1,4,2,S,MIOR,R,L,,3838,,,,15.0,M,TR,,,,,
WE026,1,3,16,1995,2,1,4,4,S,SOSP,N,L,,3844,,,,6.0,U,U,,,,,
WE026,1,3,16,1995,1,2,4,2,S,PEMA,R,L,,3823,,,,13.0,F,NL,,,,,
WE026,1,3,16,1995,1,2,4,9,S,MIOR,R,L,,3824,,,,14.0,M,TR,,,,,
